en;de
;
Press;Drücke
Hold;Halte
Try pressing;Probiere
to Respawn;zum Zurücksetzen
to Unlock Ability;zum Freischalten einer Fähigkeit
Press in any direction +;Drücke in eine Richtung +
to Dash;für einen Luftsprint
to Climb;zum Greifen
The ladder broke! :(;Die Leiter ist kaputt! :(
Elevate your Teamwork!;Zusammen hoch hinaus!
to Interact;zum Interagieren
Your ability to dash was taken!;Dein Luftsprint wurde dir genommen!
Try jumping;Probiere zu springen
Jump and press;Spring und drücke
Yey, seems like you can dash again!;Juhu, der Luftsprint funktioniert wieder!
You are almost at the top!;Ihr seid fast an der Spize!
Quickly press;Drücke schnell
to Jump far!;um weit zu springen!
Will you make it up again?;Schafft ihr es zurück hinauf?
Something seems to be wrong with your clouds...;Etwas stimmt mit deinen Wolken nicht...
Congratulations!;Glückwunsch!
Deaths:;Tode:
Collected:;Gesammelt:
Undulating Blossom;Undulating Blossom
Play;Start
Settings;Optionen
Credits;Mitwirkende
Quit;Beenden
Controls;Steuerung
Show Controls;Steuerung zeigen
Audio;Audio
Assist Mode;Hilfemodus
Language;Sprache
Back;Zurück
Switch Gamepad / Keyboard;Controller / Tastatur wechseln
Move;Bewegen
Move (Alt.);Bewegen (Alt.)
Jump;Springen
Dash;Luftsprint
Interact;Interagieren
Use Ability;Fähigkeit verwenden
Climb (Hold);Greifen (Halten)
Respawn (Hold);Zurücksetzen (Halten)
Pause / Cancel;Pause / Abbrechen
Confirm;Bestätigen
Audio Settings;Lautstärke
Music;Musik
Sound Effects;Soundeffekte
Infinite Dash:;Unbegrenzte Luftsprints:
Invincibility:;Unbesiegbar:
On;Ein
Off;Aus
Game Speed;Spieltempo
Waiting for both players...;Warte auf beide Spieler...
Character Selection;Charakterauswahl
Swap;Tauschen
Player 1;Spieler 1
Player 2;Spieler 2
Resume;Fortsetzen
Swap Characters;Spieler tauschen
Exit;Verlassen
